comparison,u_family,double_family,route,allocation,ratio,metric,u_mean_gap,double_mean_gap,required_u_gap,criterion_applicable,criterion_passed,criterion
positive_vs_double_near_zero,u_positive,double_near_zero,direct,global,0.3,accuracy,0.3237767584097859,0.3237767584097859,0.25902140672782875,True,True,u_gap>=0 and u_gap>=0.8*double_gap
positive_vs_double_near_zero,u_positive,double_near_zero,direct,global,0.3,nll,0.14938004526796692,0.14985552733188742,0.11988442186550995,True,True,u_gap>=0 and u_gap>=0.8*double_gap
positive_vs_double_near_zero,u_positive,double_near_zero,direct,global,0.3,ece,-0.10363704740477625,-0.10351105442887935,-0.08280884354310349,False,,u_gap>=0 and u_gap>=0.8*double_gap
positive_vs_double_near_zero,u_positive,double_near_zero,direct,layer_balanced,0.0,accuracy,0.0,0.0,0.0,True,True,u_gap>=0 and u_gap>=0.8*double_gap
positive_vs_double_near_zero,u_positive,double_near_zero,direct,layer_balanced,0.0,nll,0.0,0.0,0.0,True,True,u_gap>=0 and u_gap>=0.8*double_gap
positive_vs_double_near_zero,u_positive,double_near_zero,direct,layer_balanced,0.0,ece,0.0,0.0,0.0,False,,u_gap>=0 and u_gap>=0.8*double_gap
positive_vs_double_near_zero,u_positive,double_near_zero,direct,layer_balanced,0.001,accuracy,0.3237767584097859,0.3241590214067278,0.25932721712538226,True,True,u_gap>=0 and u_gap>=0.8*double_gap
positive_vs_double_near_zero,u_positive,double_near_zero,direct,layer_balanced,0.001,nll,0.14929910997549692,0.1500296922861983,0.12002375382895865,True,True,u_gap>=0 and u_gap>=0.8*double_gap
positive_vs_double_near_zero,u_positive,double_near_zero,direct,layer_balanced,0.001,ece,-0.10425266476129331,-0.10352389382825034,-0.08281911506260027,False,,u_gap>=0 and u_gap>=0.8*double_gap
positive_vs_double_near_zero,u_positive,double_near_zero,direct,layer_balanced,0.005,accuracy,0.32262996941896027,0.32492354740061163,0.25993883792048933,True,True,u_gap>=0 and u_gap>=0.8*double_gap
positive_vs_double_near_zero,u_positive,double_near_zero,direct,layer_balanced,0.005,nll,0.150882604153149,0.15021976400223713,0.12017581120178972,True,True,u_gap>=0 and u_gap>=0.8*double_gap
positive_vs_double_near_zero,u_positive,double_near_zero,direct,layer_balanced,0.005,ece,-0.103885009367594,-0.10402106103792587,-0.0832168488303407,False,,u_gap>=0 and u_gap>=0.8*double_gap
positive_vs_double_near_zero,u_positive,double_near_zero,direct,layer_balanced,0.01,accuracy,0.32301223241590216,0.32262996941896027,0.25810397553516823,True,True,u_gap>=0 and u_gap>=0.8*double_gap
positive_vs_double_near_zero,u_positive,double_near_zero,direct,layer_balanced,0.01,nll,0.152866884701478,0.1515970512632201,0.12127764101057609,True,True,u_gap>=0 and u_gap>=0.8*double_gap
positive_vs_double_near_zero,u_positive,double_near_zero,direct,layer_balanced,0.01,ece,-0.10479973989794615,-0.10370917539054154,-0.08296734031243325,False,,u_gap>=0 and u_gap>=0.8*double_gap
positive_vs_double_near_zero,u_positive,double_near_zero,direct,layer_balanced,0.02,accuracy,0.3249235474006116,0.3237767584097859,0.25902140672782875,True,True,u_gap>=0 and u_gap>=0.8*double_gap
positive_vs_double_near_zero,u_positive,double_near_zero,direct,layer_balanced,0.02,nll,0.1561818881364773,0.1545380189650285,0.1236304151720228,True,True,u_gap>=0 and u_gap>=0.8*double_gap
positive_vs_double_near_zero,u_positive,double_near_zero,direct,layer_balanced,0.02,ece,-0.1019203820659727,-0.10373303899161551,-0.08298643119329241,False,,u_gap>=0 and u_gap>=0.8*double_gap
positive_vs_double_near_zero,u_positive,double_near_zero,direct,layer_balanced,0.05,accuracy,0.3237767584097859,0.32301223241590216,0.25840978593272174,True,True,u_gap>=0 and u_gap>=0.8*double_gap
