checkpoint,double_formula_seconds,microbatch_count,microbatch_size,peak_memory_bytes_for_checkpoint_m,raw_formula_seconds,repetition,seed,shared_gradient_seconds,total_sample_budget,u_formula_seconds
step-000000,0.00033587031066417694,4,1,1696646656,0.00017153378576040268,72,41306,0.19858502130955458,4,0.00025798380374908447
step-000000,0.0003372384235262871,4,1,1696646656,0.0001700734719634056,73,41307,0.19823084957897663,4,0.0002587204799056053
step-000000,0.0003396114334464073,4,1,1696646656,0.0001680506393313408,74,41308,0.1989688789471984,4,0.00025709811598062515
step-000000,0.00033638160675764084,4,1,1696646656,0.00017005112022161484,75,41309,0.20060617290437222,4,0.0002581123262643814
step-000000,0.00033838581293821335,4,1,1696646656,0.00016931630671024323,76,41310,0.19850310031324625,4,0.0002571865916252136
step-000000,0.0003412244841456413,4,1,1696646656,0.00016761571168899536,77,41311,0.19844125490635633,4,0.0002589123323559761
step-000000,0.0003371136263012886,4,1,1696646656,0.0001689959317445755,78,41312,0.19702643435448408,4,0.0002585975453257561
step-000000,0.00033857300877571106,4,1,1696646656,0.0001685749739408493,79,41313,0.19708835240453482,4,0.00025919172912836075
step-000000,0.0003373241052031517,4,1,1696646656,0.00017128139734268188,80,41314,0.19694191869348288,4,0.0002592504024505615
step-000000,0.0003467518836259842,4,1,1696646656,0.00016928371042013168,81,41315,0.19694869313389063,4,0.0002588042989373207
step-000000,0.0003378484398126602,4,1,1696646656,0.00017041712999343872,82,41316,0.19831096567213535,4,0.00025659333914518356
step-000000,0.0003393944352865219,4,1,1696646656,0.00017039943486452103,83,41317,0.19719668291509151,4,0.00025834236294031143
step-000000,0.000336257740855217,4,1,1696646656,0.00017606280744075775,84,41318,0.2006797818467021,4,0.00026016682386398315
step-000000,0.0003375709056854248,4,1,1696646656,0.00016942154616117477,85,41319,0.2002027938142419,4,0.0002575814723968506
step-000000,0.00034135114401578903,4,1,1696646656,0.00017071235924959183,86,41320,0.19916739501059055,4,0.0002594832330942154
step-000000,0.0003370167687535286,4,1,1696646656,0.00016903597861528397,87,41321,0.19903246499598026,4,0.00025555025786161423
step-000000,0.0003376379609107971,4,1,1696646656,0.00017228256911039352,88,41322,0.20046321395784616,4,0.00025505851954221725
