intervention,score,model_state,allocation,requested_ratio,requested_count,eligible_count,eligible_tensor_count,pruned_count,actual_ratio,seed,accuracy,nll,ece,examples,baseline_accuracy,baseline_nll,baseline_ece,accuracy_drop,nll_change,ece_change,provenance_id,artifact_path
pretrain_high,u_positive,unfinetuned,layer_balanced,0.05,6178401,123568128,49,6178401,0.0499999562994108,1234,0.4908256880733945,0.6931471824645996,0.009174317121505737,872.0,0.4908256880733945,1.1130387739304008,0.37439142467262804,0.0,-0.41989159146580124,-0.3652171075511223,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
pretrain_high,u_positive,finetuned,layer_balanced,0.05,6178401,123568128,49,6178401,0.0499999562994108,1234,0.4908256880733945,0.6931471824645996,0.009174317121505737,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,0.33715596330275227,0.18098010245813145,-0.09621029681785442,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
finetune_high,u_positive,finetuned,layer_balanced,0.05,6178401,123568128,49,6178401,0.0499999562994108,1234,0.4908256880733945,0.6931471824645996,0.009174317121505737,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,0.33715596330275227,0.18098010245813145,-0.09621029681785442,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
topk_intersection,u_positive,finetuned,layer_balanced,0.05,6178401,123568128,49,1445069,0.011694512358397142,1234,0.4908256880733945,0.6931471824645996,0.009174317121505737,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,0.33715596330275227,0.18098010245813145,-0.09621029681785442,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
pretrain_only,u_positive,finetuned,layer_balanced,0.05,6178401,123568128,49,4733332,0.03830544394101366,1234,0.8451834862385321,0.5598459268381836,0.10873566309906613,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,-0.017201834862385357,0.047678846831715416,0.0033510491597059655,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
pretrain_high,u_positive,unfinetuned,layer_balanced,0.1,12356803,123568128,49,12356803,0.0999999206915233,1234,0.4908256880733945,0.6931471824645996,0.009174317121505737,872.0,0.4908256880733945,1.1130387739304008,0.37439142467262804,0.0,-0.41989159146580124,-0.3652171075511223,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
pretrain_high,u_positive,finetuned,layer_balanced,0.1,12356803,123568128,49,12356803,0.0999999206915233,1234,0.4908256880733945,0.6931471824645996,0.009174317121505737,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,0.33715596330275227,0.18098010245813145,-0.09621029681785442,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
finetune_high,u_positive,finetuned,layer_balanced,0.1,12356803,123568128,49,12356803,0.0999999206915233,1234,0.4908256880733945,0.6931471824645996,0.009174317121505737,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,0.33715596330275227,0.18098010245813145,-0.09621029681785442,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
topk_intersection,u_positive,finetuned,layer_balanced,0.1,12356803,123568128,49,3915053,0.03168335608353636,1234,0.4908256880733945,0.6931471824645996,0.009174317121505737,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,0.33715596330275227,0.18098010245813145,-0.09621029681785442,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
pretrain_only,u_positive,finetuned,layer_balanced,0.1,12356803,123568128,49,8441750,0.06831656460798693,1234,0.8440366972477065,0.563633081836438,0.10331887387353655,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,-0.016055045871559703,0.051466001829969854,-0.002065740065823607,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
pretrain_high,u_positive,unfinetuned,layer_balanced,0.2,24713618,123568128,49,24713618,0.19999993849546704,1234,0.4908256880733945,0.6931471824645996,0.009174317121505737,872.0,0.4908256880733945,1.1130387739304008,0.37439142467262804,0.0,-0.41989159146580124,-0.3652171075511223,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
pretrain_high,u_positive,finetuned,layer_balanced,0.2,24713618,123568128,49,24713618,0.19999993849546704,1234,0.4908256880733945,0.6931471824645996,0.009174317121505737,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,0.33715596330275227,0.18098010245813145,-0.09621029681785442,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
finetune_high,u_positive,finetuned,layer_balanced,0.2,24713618,123568128,49,24713618,0.19999993849546704,1234,0.4908256880733945,0.6931471824645996,0.009174317121505737,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,0.33715596330275227,0.18098010245813145,-0.09621029681785442,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
topk_intersection,u_positive,finetuned,layer_balanced,0.2,24713618,123568128,49,10535217,0.08525836856571947,1234,0.4908256880733945,0.6931471824645996,0.009174317121505737,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,0.33715596330275227,0.18098010245813145,-0.09621029681785442,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
