task,route,estimator,score_type,balance,fraction,metric,seed,comparison,left_mean,high_mean,gap,left_mask_n,high_mask_n,direction
sst2,direct,double,positive,global,0.05,accuracy,2027,low_minus_high,0.8107798165137615,0.4908256880733945,0.319954128440367,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.05,accuracy,2027,random_minus_high,0.8172591743119266,0.4908256880733945,0.32643348623853213,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.05,ece,1234,low_minus_high,0.12285191324765854,0.009174317121505737,-0.1136775961261528,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.05,ece,1234,random_minus_high,0.10510827875237858,0.009174317121505737,-0.09593396163087284,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.05,ece,1337,low_minus_high,0.11498203532537854,0.009174317121505737,-0.1058077182038728,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.05,ece,1337,random_minus_high,0.11324423936886588,0.009174317121505737,-0.10406992224736014,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.05,ece,2027,low_minus_high,0.11269255202958373,0.009174317121505737,-0.10351823490807799,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.05,ece,2027,random_minus_high,0.10094510063060488,0.009174317121505737,-0.09177078350909915,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.05,nll,1234,low_minus_high,0.5810129650689047,0.6931471824645996,0.11213421739569496,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.05,nll,1234,random_minus_high,0.51630372341483,0.6931471824645996,0.1768434590497696,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.05,nll,1337,low_minus_high,0.5360484205254721,0.6931471824645996,0.15709876193912753,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.05,nll,1337,random_minus_high,0.5257514864616437,0.6931471824645996,0.1673956960029559,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.05,nll,2027,low_minus_high,0.5359428953892047,0.6931471824645996,0.1572042870753949,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.05,nll,2027,random_minus_high,0.4993263766921441,0.6931471824645996,0.19382080577245553,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.1,accuracy,1234,low_minus_high,0.8130733944954128,0.4908256880733945,0.32224770642201833,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.1,accuracy,1234,random_minus_high,0.817717889908257,0.4908256880733945,0.3268922018348625,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.1,accuracy,1337,low_minus_high,0.8188073394495413,0.4908256880733945,0.3279816513761468,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.1,accuracy,1337,random_minus_high,0.8075114678899082,0.4908256880733945,0.31668577981651375,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.1,accuracy,2027,low_minus_high,0.8119266055045872,0.4908256880733945,0.3211009174311927,1,1,positive_means_high_pruning_is_more_harmful
